URL,Type,Thématique,Trust Flow,Trafic,TTF,Follow,Notes
https://example-blog.com,Blog,Business & Marketing,45,15000,Business,Oui,Site de qualité avec bon contenu
https://example-forum.com,Forum,Technologie & Informatique,30,8000,Computers,Oui,Forum actif et bien modéré
https://example-media.com,Média,Actualités & Médias,70,25000,News,Oui,Site d'actualités réputé
https://example-ecommerce.com,E-commerce,E-commerce & Affiliation,25,5000,Shopping,Non,Site e-commerce avec bon SEO
https://example-vitrine.com,Vitrine,Lifestyle & Loisirs,15,3000,Lifestyle,Oui,Site vitrine avec design moderne
https://example-annuaire.com,Annuaire,Business & Marketing,40,12000,Business,Oui,Annuaire spécialisé business
https://example-reseau-social.com,Réseau social,Lifestyle & Loisirs,35,18000,Social,Non,Réseau social avec forte communauté
https://example-blog-tech.com,Blog,Technologie & Informatique,55,22000,Computers,Oui,Blog tech avec expertise
https://example-forum-business.com,Forum,Business & Marketing,20,4000,Business,Non,Forum business avec discussions
https://example-media-news.com,Média,Actualités & Médias,65,30000,News,Oui,Média d'actualités généralistes
